행정구역,2021년01월_계_총인구수,2021년01월_계_연령구간인구수,2021년01월_계_0~9세,2021년01월_계_10~19세,2021년01월_계_20~29세,2021년01월_계_30~39세,2021년01월_계_40~49세,2021년01월_계_50~59세,2021년01월_계_60~69세,2021년01월_계_70~79세,2021년01월_계_80~89세,2021년01월_계_90~99세,2021년01월_계_100세 이상
서울특별시 성북구 길음제1동(1129066000),"36,314","36,314","3,978","4,895","3,468","4,677","7,911","5,005","3,315","2,085",825,128,27
서울특별시 성북구 길음제2동(1129068500),"17,035","17,035","1,452","1,416","2,111","2,525","2,948","2,790","2,108","1,152",449,64,20
서울특별시 성북구 종암동(1129070500),"39,648","39,648","2,691","3,673","5,779","5,204","6,430","6,360","4,820","2,929","1,475",241,46
서울특별시 성북구 월곡제1동(1129071500),"26,902","26,902","2,077","2,613","3,040","3,612","4,591","4,255","3,572","2,168",845,105,24
서울특별시 성북구 월곡제2동(1129072500),"19,891","19,891","1,078","1,477","3,560","2,755","2,844","3,055","2,677","1,632",704,97,12
서울특별시 성북구 장위제1동(1129076000),"22,247","22,247","1,309","1,800","3,213","2,874","3,331","4,039","3,159","1,710",705,92,15
서울특별시 성북구 장위제2동(1129077000),"13,841","13,841",597,896,"1,921","1,707","1,965","2,441","2,190","1,447",565,84,28
서울특별시 성북구 장위제3동(1129078000),"16,853","16,853","1,763","1,374","2,165","2,727","2,690","2,664","2,001","1,039",366,49,15
서울특별시 성북구 석관동(1129081000),"35,515","35,515","1,998","2,213","5,193","5,005","5,150","6,005","5,312","3,265","1,225",133,16
서울특별시 강북구 (1130500000),"307,487","307,487","15,539","21,915","42,757","38,518","46,530","52,613","46,062","30,175","11,608","1,517",253
서울특별시 강북구 삼양동(1130553400),"24,470","24,470","1,292","1,962","3,145","2,988","3,662","4,363","3,792","2,260",847,129,30
서울특별시 강북구 미아동(1130553500),"22,210","22,210",785,"1,345","3,868","2,884","3,096","3,832","3,332","2,119",839,100,10
서울특별시 강북구 송중동(1130554500),"30,332","30,332","1,533","2,061","4,257","4,100","4,596","5,210","4,589","2,842",992,120,32
서울특별시 강북구 송천동(1130555500),"27,367","27,367","1,063","1,633","3,676","3,258","3,905","5,046","4,598","2,901","1,114",145,28
서울특별시 강북구 삼각산동(1130557500),"31,901","31,901","2,964","4,001","3,373","3,791","6,487","4,984","3,356","2,010",812,99,24
서울특별시 강북구 번1동(1130559500),"18,978","18,978",689,"1,081","3,242","2,797","2,907","3,133","2,638","1,777",628,78,8
서울특별시 강북구 번2동(1130560300),"16,406","16,406",679,"1,085","2,217","1,790","2,406","2,786","2,664","2,007",686,83,3
서울특별시 강북구 번3동(1130560800),"17,449","17,449",955,"1,346","1,918","1,727","2,652","2,812","2,664","2,521",759,84,11
서울특별시 강북구 수유1동(1130561500),"21,216","21,216","1,055","1,333","3,073","2,791","2,997","3,614","3,351","1,999",849,115,39
서울특별시 강북구 수유2동(1130562500),"21,490","21,490","1,071","1,440","2,965","2,587","3,052","3,783","3,341","2,155",965,127,4
서울특별시 강북구 수유3동(1130563500),"23,557","23,557",832,"1,112","4,295","3,396","3,308","4,050","3,435","2,171",843,100,15
서울특별시 강북구 우이동(1130564500),"20,929","20,929","1,080","1,396","2,664","2,591","2,985","3,597","3,311","2,184",944,147,30
서울특별시 강북구 인수동(1130566000),"31,182","31,182","1,541","2,120","4,064","3,818","4,477","5,403","4,991","3,229","1,330",190,19
서울특별시 도봉구 (1132000000),"324,281","324,281","18,500","25,493","43,170","40,721","48,275","56,837","49,968","27,809","11,652","1,679",177
서울특별시 도봉구 창제1동(1132051100),"25,163","25,163","1,556","2,154","3,303","3,369","4,107","4,181","3,481","1,997",889,119,7
서울특별시 도봉구 창제2동(1132051200),"29,531","29,531","1,796","2,264","4,127","4,100","4,572","5,152","4,167","2,303",941,106,3
서울특별시 도봉구 창제3동(1132051300),"14,296","14,296",755,"1,103","1,813","1,713","2,161","2,608","2,177","1,379",523,53,11
서울특별시 도봉구 창제4동(1132051400),"27,082","27,082","1,763","2,610","3,711","3,403","4,413","4,910","3,503","1,738",884,138,9
서울특별시 도봉구 창제5동(1132051500),"25,090","25,090","1,566","1,939","3,700","3,517","3,572","4,415","3,613","1,815",803,138,12
서울특별시 도봉구 도봉제1동(1132052100),"21,609","21,609",856,"1,194","2,625","2,368","2,917","3,821","3,954","2,716","1,012",129,17
서울특별시 도봉구 도봉제2동(1132052200),"27,730","27,730","1,619","1,729","3,329","3,628","3,800","4,496","4,968","2,814","1,142",177,28
서울특별시 도봉구 쌍문제1동(1132066000),"21,717","21,717","1,175","1,603","3,077","2,586","3,226","3,669","3,350","2,062",850,103,16
서울특별시 도봉구 쌍문제2동(1132067000),"19,180","19,180","1,008","1,386","2,529","2,608","2,760","3,320","3,055","1,656",732,108,18
서울특별시 도봉구 쌍문제3동(1132068000),"16,742","16,742",799,"1,007","2,492","2,369","2,427","2,844","2,473","1,639",601,83,8
서울특별시 도봉구 쌍문제4동(1132068100),"19,180","19,180","1,195","2,028","2,554","2,318","2,976","3,402","2,830","1,190",578,102,7
서울특별시 도봉구 방학제1동(1132069000),"28,931","28,931","1,529","2,222","3,857","3,364","4,218","5,412","4,621","2,599",940,156,13
서울특별시 도봉구 방학제2동(1132070000),"20,230","20,230",930,"1,483","2,697","2,209","2,904","3,784","3,358","1,987",751,109,18
서울특별시 도봉구 방학제3동(1132071000),"27,800","27,800","1,953","2,771","3,356","3,169","4,222","4,823","4,418","1,914","1,006",158,10
서울특별시 노원구 (1135000000),"521,852","521,852","32,855","52,892","72,828","64,457","85,841","87,727","68,252","37,607","16,563","2,541",289
서울특별시 노원구 월계1동(1135056000),"22,275","22,275","1,191","1,705","3,820","2,670","3,425","3,537","3,093","1,972",728,116,18
서울특별시 노원구 월계2동(1135057000),"27,347","27,347","1,751","2,128","3,239","3,199","4,301","4,606","4,410","2,510","1,020",169,14
서울특별시 노원구 월계3동(1135058000),"30,482","30,482","2,218","2,159","3,568","4,579","4,665","4,777","4,617","2,608","1,121",155,15
서울특별시 노원구 공릉1동(1135059500),"37,499","37,499","2,101","2,628","6,725","5,354","5,423","5,824","5,438","2,774","1,046",169,17
